color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,action,adventure,biography,comedy,crime,drama,fantasy,history,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
color,zack snyder,143,291021565,,man of steel,2013,english,usa,225000000,7.2,"henry cavill,christopher meloni,harry lennix",118000,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
color,sam mendes,143,304360277,,skyfall,2012,english,uk,200000000,7.8,"albert finney,helen mccrory,rory kinnear",80000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
color,baz luhrmann,143,144812796,,the great gatsby,2013,english,australia,105000000,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
color,steven spielberg,142,72306065,,bridge of spies,2015,english,usa,40000000,7.6,"tom hanks,mark rylance,amy ryan",55000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
color,marc webb,142,202853933,,the amazing spider-man 2,2014,english,usa,200000000,6.7,"emma stone,andrew garfield,b.j. novak",41000,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
color,joss whedon,141,458991599,,avengers: age of ultron,2015,english,usa,250000000,7.5,"chris hemsworth,robert downey jr.,scarlett johansson",118000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
color,justin chadwick,141,8324748,,mandela: long walk to freedom,2013,english,uk,35000000,7.1,"terry pheto,fana mokoena,tony kgoroge",13000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
color,david dobkin,141,47105085,,the judge,2014,english,usa,50000000,7.4,"robert downey jr.,robert duvall,leighton meester",47000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
color,ryan murphy,140,80574010,,eat pray love,2010,english,usa,60000000,5.7,"james franco,julia roberts,billy crudup",26000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
color,james wan,140,350034110,,furious 7,2015,english,usa,190000000,7.2,"jason statham,paul walker,vin diesel",94000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
color,derek cianfrance,140,21383298,,the place beyond the pines,2012,english,usa,15000000,7.3,"ryan gosling,ben mendelsohn,angelo anthony pizza",47000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
color,gavin o'connor,140,13651662,,warrior,2011,english,usa,25000000,8.2,"tom hardy,frank grillo,kevin dunn",77000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
color,gary ross,139,20389967,,free state of jones,2016,english,usa,50000000,6.7,"matthew mcconaughey,donald watkins,jessica collins",10000,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
color,tate taylor,139,30513940,,get on up,2014,english,usa,30000000,6.9,"tika sumpter,josh hopkins,aunjanue ellis",11000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
